tag_code,date,city_location,state_province,zip_pc,country,first_name,notes
AEXH202,2022-09-14T00:00:00Z,Ann Arbor,MI,,USA,Linda,Northern Blazing Star
AEXH288,2022-09-13T00:00:00Z,Ann Arbor,MI,,USA,Linda,Observed in our garden on Northern Blazing Stars and Zinnias
AEXM700,2022-09-18T00:00:00Z,MILAN,MI,,USA,Kerri,Found Sunday 9/18 around 5pm ESt in our Zinnia patch
AEXM701,2022-09-14T00:00:00Z,Ann Arbor,MI,,USA,Linda,Feasting on Northern Blazing Star
AEXM756,2022-09-28T00:00:00Z,Grand Rapids,MI,,USA,Erin,NA
AEXM760,2022-09-24T00:00:00Z,Grand Rapids,MI,,USA,Nancy L,"My front yard, resting on my Geranium"
AEXM794,2022-09-29T00:00:00Z,Grand Rapids,MI,,USA,Megan,Butterfly was feeding in John Ball Zoo near the bald eagle exhibit.
AEXM805,2022-09-28T00:00:00Z,Grand Rapids,MI,,USA,Megan,Monarch was found deceased on the ground near the Central Services Building of John Ball Zoo (located on Butterworth Street) around 12:00PM. Temperature was around 50 degrees Fahrenheit.
AEXR957,2022-08-21T00:00:00Z,Plymouth,MI,,USA,Matt,Our backyard butterfly bush & cone flowers
AEXU940,2022-09-01T00:00:00Z,Altamonte Springs,FL,,USA,Donnie,Found dead in window ledge
AEYG575,2022-09-25T00:00:00Z,Pensacola,FL,,USA,Andra,On Perdido Bay over boarder Florida Alabama line
AEYG575,2022-09-25T00:00:00Z,Pensacola,FL,,USA,ANDRA,NA
AEYG641,2022-09-30T00:00:00Z,Wichita,KS,,USA,David,Found flying and landing on our purple sedum.
AEYG641,2022-09-30T00:00:00Z,Wichita,KS,,USA,DAVID,Monarch is alive and well
AEYH459,2022-09-28T00:00:00Z,Wapello,IA,,USA,Taren,The monarch was found on the grass in front of a school. It was flapping its wings slowly.
AEYT842,2022-09-17T00:00:00Z,Charleston,SC,,USA,Kristie,"It was on the Gay Feather I have planted in my yard. They love it, there will be several on a plant at a time."
AEYU106,2022-10-14T00:00:00Z,Folly Beach,SC,,USA,Anna,Perfect condition found on sidewalk
AEYU529,2022-11-29T00:00:00Z,Folly beach,SC,,USA,Michelle,I found this one in my back yard. I’ve seen many recently & two link together. We had temperatures drop not sure if that hurt it we live across the street from the ocean.
AEYU545,2022-12-18T00:00:00Z,Edisto,SC,,USA,Sarah,"It was found on the stairs of our porch, his wing is torn at the bottom, but he is alive. Seems injured."
AEYU797,2022-12-26T00:00:00Z,Folly Beach,SC,,USA,Anne,"Found at Folly Beach County Park, ON gravel at a picnic shelter near the entrance. Lower half of abdomen was missing. Eaten by a bird? I took a photo."
AEYW834,2022-09-18T00:00:00Z,Moncton,NB,,CAN,Mel,Bog
AEYY908,2022-10-14T00:00:00Z,Athens,GA,,USA,Lucy,They were eating from an aster in an early succession plant community in the Oconee Forest Park :)
AEZB062,2022-09-03T00:00:00Z,Niagara Falls,NY,,USA,Stephanie,NA
AEZB064,2022-09-03T00:00:00Z,Niagara Falls,ON,,CAN,Isabella,Outside the Butterfly conservatory
AEZB169,2022-09-03T00:00:00Z,Niagara falls,ON,,CAN,Marc,We found this butterfly outside the Niagara butterfly conservatory
AEZB190,2022-09-04T00:00:00Z,Niagara Falls,ON,,CAN,Arash,I saw it just outside of the Butterfly Conservatory park
AEZE615,2022-08-19T00:00:00Z,Scarborough,ON,,CAN,Timothy,"Seen at Rosetta McClain Gardens park, when doing a YouTube video of the area."
AEZE618,2022-08-18T00:00:00Z,Scarborough,ON,,CAN,Christine,Rosetta McLean Park
AEZG161,2022-09-17T00:00:00Z,Leamington,ON,,CAN,Darlene,It was seen flying in & landing in a tree at the Tip at Point Pelee National Park when the tag was noticed by my friends Fred & Connie.
AEZH060,2022-09-01T00:00:00Z,Toronto,ON,,CAN,Stevie,NA
AEZJ925,2022-08-16T00:00:00Z,Southampton,ON,,CAN,Sabrina,In our wetland meadow feeding on the swamp milkweed
AEZL180,2022-09-05T00:00:00Z,Port Elgin,ON,,CAN,Michele,NA
AEZM259,2022-12-04T00:00:00Z,Corpus christi,TX,,USA,Noel,I found him at my work at Oso Growers on one of our plants
AEZM484,2022-09-13T00:00:00Z,Cleveland,OH,,USA,Megan,NA
AEZM484,2022-09-13T00:00:00Z,Cleveland,OH,,USA,Megan,At Wendy Park on Lake Erie shore
