tag_code,report_season,location,country,abbrev
AGTE790,2022,Sierra Chincua,Mexico,MIC
AGTG302,2022,El Rosario,Mexico,MIC
AGTH287,2022,El Rosario,Mexico,MIC
AGTJ221,2022,El Rosario,Mexico,MIC
AGTN186,2022,El Rosario,Mexico,MIC
AGTN479,2022,El Rosario,Mexico,MIC
AGTT028,2022,El Rosario,Mexico,MIC
AGTT575,2022,El Rosario,Mexico,MIC
AGTW280,2022,El Rosario,Mexico,MIC
AGUE822,2022,El Rosario,Mexico,MIC
AGUG138,2022,Atlautla,Mexico,MEX
AGUW608,2022,El Rosario,Mexico,MIC
AGUW669,2022,El Rosario,Mexico,MIC
AGUW832,2022,El Rosario,Mexico,MIC
AGUY335,2022,El Rosario,Mexico,MIC
AGUY792,2022,El Rosario,Mexico,MIC
AGUZ560,2022,El Rosario,Mexico,MIC
AGUZ717,2022,El Rosario,Mexico,MIC
AGWS354,2022,El Rosario,Mexico,MIC
AGWY880,2022,El Rosario,Mexico,MIC
AGWZ703,2022,El Rosario,Mexico,MIC
AGXB246,2022,Cerro Pelon,Mexico,MEX
AGXB979,2022,El Rosario,Mexico,MIC
AGXR776,2022,Piedra Herrada,Mexico,MEX
AGXS694,2022,El Rosario,Mexico,MIC
AGXS706,2022,Atlautla,Mexico,MEX
AGXT090,2022,El Rosario,Mexico,MIC
AGXT516,2022,El Rosario,Mexico,MIC
AGXW776,2022,Cerro Pelon,Mexico,MEX
AGYL350,2022,El Rosario,Mexico,MIC
AGYN527,2022,El Rosario,Mexico,MIC
AGYN792,2022,El Rosario,Mexico,MIC
AGYP187,2022,El Rosario,Mexico,MIC
AGYS534,2022,El Rosario,Mexico,MIC
AGYT265,2022,El Rosario,Mexico,MIC
AGYU250,2022,El Rosario,Mexico,MIC
AGYW510,2022,El Rosario,Mexico,MIC
AGYY090,2022,Cerro Pelon,Mexico,MEX
AGZG044,2022,El Rosario,Mexico,MIC
AGZM453,2022,Sierra Chincua,Mexico,MIC
AGZN556,2022,El Rosario,Mexico,MIC
AGZN564,2022,El Rosario,Mexico,MIC
AGZY325,2022,El Rosario,Mexico,MIC
AHAB753,2022,El Rosario,Mexico,MIC
AHAE030,2022,El Rosario,Mexico,MIC
AHAL012,2022,Cerro Pelon,Mexico,MEX
AHAL906,2022,El Rosario,Mexico,MIC
AHAP231,2022,El Rosario,Mexico,MIC
CDS808,2022,El Rosario,Mexico,MIC
CFI680,2022,El Rosario,Mexico,MIC
LCY305,2022,Cerro Pelon,Mexico,MEX
LEJ381,2022,El Rosario,Mexico,MIC
LGS028,2022,Cerro Pelon,Mexico,MEX
MHE682,2022,El Rosario,Mexico,MIC
NCE004,2022,Cerro Pelon,Mexico,MEX
NHY830,2022,Cerro Pelon,Mexico,MEX
PHZ633,2022,Cerro Pelon,Mexico,MEX
TCX116,2022,El Rosario,Mexico,MIC
UCX625,2022,El Rosario,Mexico,MIC
UNA295,2022,El Rosario,Mexico,MIC
UQ327,2022,El Rosario,Mexico,MIC
XNX639,2022,El Rosario,Mexico,MIC
YJW646,2022,El Rosario,Mexico,MIC
YYJ900,2022,El Rosario,Mexico,MIC
ZBR223,2022,El Rosario,Mexico,MIC
